timestamp,tvlUSD,tvlETH,wBTC,wETH,DAI
1604534400,2033198334,5092544.356,15266.89903,2582852.949,278863015.4
1604448000,2014216002,5229013.505,15316.4285,2595253.434,287043829.5
1604361600,2001638221,5216267.222,15306.09671,2597229.201,283186825.4
1604275200,2012945618,5121999.028,15436.65301,2603466.625,277375658.8
1604188800,1979365420,5135473.16,15669.24172,2603184.787,269064646.4
1604102400,1962440438,5150897.499,15647.98426,2598978.921,271006167.6
1604016000,2014763438,5236007.791,15608.72418,2587650.954,273716673.5
1603929600,2033476974,5240514.842,18051.40632,2579067.487,301264236.1
1603843200,2110012143,5259252.6,17147.87619,2600879.744,323462909.5
1603756800,2077829181,5283601.64,17220.18236,2596902.929,331538603
1603670400,2116839292,5212862.717,17079.18709,2604768.387,334440246
1603584000,2128177354,5199807.843,17046.55107,2601103.232,337562554
1603497600,2132229322,5221572.969,16987.92229,2607643.777,340971087.7
1603411200,2096399515,5079102.399,17200.8982,2618345.559,316015239.3
1603324800,2062949829,5302531.369,15643.80197,2726415.635,302515090.6
1603238400,1960003672,5341191.607,15580.69664,2724597.046,296591547.4
1603152000,1972591032,5224299.571,14308.10147,2709066.627,287548559.2
1603065600,1959108669,5200713.217,14241.41922,2654990.479,293743569.9
1602979200,1937514585,5257413.467,14232.75131,2655377.488,292837868.5
1602892800,1928598277,5278624.581,14232.64285,2660695.779,291864691.9
1602806400,1951465486,5221871.2,14200.96544,2657480.088,291330427.3
1602720000,1966279452,5212829.936,14163.30297,2661324.336,293273688.9
1602633600,1983843850,5221191.31,14163.20677,2687846.906,291219985.5
1602547200,1972657498,5130315.201,13144.85126,2702053.602,275213617.1
1602460800,1938471159,5189321.802,13290.46316,2710513.442,274170875.9
1602374400,1912504569,5168093.198,13297.13395,2712050.666,267777987.3
1602288000,1890049569,5177934.275,13470.2013,2717214.958,268247701.7
1602201600,1833516456,5221759.622,13487.57959,2726796.635,267108508.1
1602115200,1798535129,5270123.741,13476.72129,2728030.349,263505097
1602028800,1819366587,5328042.25,13424.4638,2778955.105,267381652.4
1601942400,1825904653,5183841.958,13386.16941,2773665.748,253211077.6
1601856000,1841154210,5218543.154,13400.5052,2798183.87,255489189.1
1601769600,1824414270,5252682.665,13374.88258,2806470.427,253425486.2
1601683200,1824978689,5260062.513,13583.95533,2808655.214,251573284.9
1601596800,1844746350,5206882.356,13755.5843,2795081.151,256668139.6
1601510400,1924414076,5327540.214,13712.73239,2802122.996,280214577.1
1601424000,1938817348,5381268.833,14987.63922,2826419.132,279170220.2
1601337600,1924622303,5418113.572,14998.50902,2832792.339,277883781.1
1601251200,1952477404,5452172.249,14987.38488,2838097.877,280143448.3
1601164800,1955466614,5490570.305,14970.95158,2841590.268,283589655.5
1601078400,1937931153,5460960.783,14923.242,2837584.536,287778043.1
1600992000,1915059015,5463480.015,15106.39281,2830766.845,284773595.6
1600905600,1820623164,5586447.266,14757.47635,2840321.378,267191080.2
1600819200,1805555239,5211740.096,15489.65624,2857155.188,238932843.3
1600732800,1769564916,5170235.832,15255.76336,2862576.998,228855143.3
1600646400,1804710240,4849025.31,15495.95819,2859329.837,208050319.9
1600560000,1790329371,4642127.651,15750.79598,2843129.107,179281843.8
1600473600,1680511887,4361906.941,15745.52663,2846441.497,160536747.3
1600387200,1597965976,4105876.246,15375.49952,2851370.045,142445493.1
1600300800,1478608118,4046878.83,10524.90546,2855965.859,141990868.1
1600214400,1486139934,4070835.549,10720.12069,2914634.23,111100562.7
1600128000,1454540236,3844430.385,10591.3522,2901916.867,113217587.9
1600041600,1386654507,3754310.294,10527.11138,2879023.287,139792976.7
1599955200,1441197229,3691307.607,10394.74979,2857606.096,137965199.3
1599868800,1385208445,3679661.164,10755.18025,2866921.08,132774580.1
1599782400,1362573839,3674587.63,10487.73621,2876080.565,135846086
1599696000,1291614205,3648833.847,9383.107888,2791746.898,145298317.3
1599609600,1238171630,3655442.932,10272.44736,2775685.637,129529990.6
1599523200,1292206553,3659605.078,11957.00687,2776942.963,140914230.8
1599436800,1287614423,3621370.298,12138.86065,2794430.552,133506108.8
1599350400,1283826589,3799315.17,11564.46265,2946958.703,144135677.3
1599264000,1418790675,3650937.122,11046.94782,2899934.481,149154707.6
1599177600,1452413798,3743816.982,10413.11639,2912079.833,167173252
1599091200,1550099656,3516639.797,12936.79721,2754551.052,166705825.1
1599004800,1599333502,3378754.626,12693.26269,2633795.142,175564602.6
1598918400,1487709647,3427665.477,12598.7735,2581782.216,188527131.9
1598832000,1475561772,3442426.68,12463.9221,2584225.085,187213385.9
1598745600,1421459273,3540371.788,12556.99964,2594919.056,196404472.7
1598659200,1437448237,3621232.49,12742.23653,2651106.103,204778087.1
1598572800,1397841654,3636803.138,12743.83986,2656018.954,202710443.4
1598486400,1420711392,3655973.731,12473.46465,2650707.043,212416456.3
1598400000,1408663986,3648632.372,12427.02247,2651482.616,206043385.8
1598313600,1450828811,3549515.122,12807.38725,2642415.449,188318267.7
1598227200,1420018732,3626937.914,12780.43626,2609650.006,215216136.7
1598140800,1435819926,3630942.56,12781.87613,2622787.086,214105529
1598054400,1400516853,3606790.762,12879.90056,2611361.314,211811604
1597968000,1468198563,3529153.798,12552.61257,2592031.906,211329946.8
1597881600,1418461405,3480459.833,12552.84784,2583358.173,197688836.9
1597795200,1469210595,3462587.719,12353.29506,2592068.587,194628489.5
1597708800,1497795630,3475244.507,12418.96432,2599187.987,205682145.1
1597622400,1474444519,3443435.202,11595.7879,2587773.689,201674715.7
1597536000,1474144037,3417116.451,11403.80969,2590956.125,194860339.4
1597449600,1494288348,3430492.775,11377.17022,2598902.49,199750521.6
1597363200,1538341733,3651416.409,11438.44039,2577609.521,245387230
1597276800,1441927394,3720238.897,11409.10134,2569746.278,253447717.9
1597190400,1426861667,3759053.867,10737.98117,2573481.828,252431020.3
1597104000,1460289069,3695250.44,10736.55304,2573246.758,250005160.1
1597017600,1336326994,3428061.654,9387.31212,2506722.609,211909369.7
1596931200,1344558755,3415446.326,6742.924587,2495436.536,212374812.1
1596844800,1307256320,3446133.6,6742.54175,2492711.194,211422007.4
1596758400,1324068513,3364593.584,6736.363175,2466651.934,200217355.1
1596672000,1392096472,3487565.067,7106.506114,2560599.122,215955177.4
1596585600,1353221553,3479881.588,7107.78923,2541772.721,217795057
1596499200,1348999596,3489664.475,7108.041919,2540169.121,217355345.8
1596412800,1261187857,3394122.011,7101.918705,2547594.363,173158797.8
1596326400,1281597669,3313077.241,7101.680465,2534721.826,151410897.7
1596240000,1211296789,3496108.722,7105.994781,2558589.367,170776534
1596153600,1105771124,3305249.212,7106.773309,2497179.049,143408839.5
1596067200,1059575779,3326246.363,3890.31866,2482414.185,153197723.2
1595980800,1025672381,3244669.201,3773.00968,2395247.808,161798282.5
1595894400,1017144308,3173617.186,3773.845349,2397255.609,149061102.7
1595808000,970293268,3130079.254,3771.245411,2369551.991,138966732.1
1595721600,883340083,2927002.495,3776.077126,2392037.011,87913488.1
1595635200,814239320,2927759.951,3780.080524,2375597.211,46864451.94
1595548800,763846192,2783391.728,3780.363295,2315920.494,33217737.35
1595462400,689935311,2627224.062,3829.232595,2230623.923,31741779.07
1595376000,643618841,2628732.401,4129.533895,2095927.434,38156264.76
1595289600,626437663,2647665.524,4129.587895,2071519.313,45187976.18
1595203200,654713343,2749856.537,4130.037895,2090545.306,65699753.61
1595116800,650402057,2753141.115,4129.900895,2044762.46,89201476.59
1595030400,642830395,2773091.735,4136.618478,2025800.837,95828537.69
1594944000,628506172,2677798.867,4144.355058,2018719.026,86662898.85
1594857600,632349508,2649139.12,4144.925779,2000629.84,87238987.31
1594771200,633312320,2635287.617,4145.586739,1998852.147,85175161.31
1594684800,634219541,2642251.139,4145.930984,1989547.419,81272770.56
1594598400,630913414,2603852.307,4949.294104,1971846.614,77290999
1594512000,645144596,2692590.134,4951.803576,2026286.994,83907073.28
1594425600,626101680,2593412.642,4950.382752,1968098.4,75223681.09
1594339200,621215341,2566475.278,4948.502309,1954079.764,72124270.02
1594252800,628542855,2552354.645,4947.309365,1954025.918,71280210.41
1594166400,605952037,2530916.536,4946.637034,1946780.677,65395701.34
1594080000,586506195,2436466.413,4948.596216,1904250.765,58200805.61
1593993600,555332862,2422918.246,4324.509228,1912986.627,55814475.09
1593907200,557534467,2409813.568,3584.503203,1921884.729,54034598.57
1593820800,526707604,2318867.676,3379.275335,1883358.186,47446330.68
1593734400,485686617,2135167.789,2723.247065,1786408.188,28319545.48
1593648000,491905599,2112452.113,2691.454393,1758451.169,32117338.61
1593561600,445874136,1963511.256,2691.909585,1765019.144,17567142.53
1593475200,446823725,1959581.287,2691.391606,1766187.061,16313517.81
1593388800,447027186,1974327.294,2691.75236,1778379.106,16893684.02
1593302400,445088269,1996001.027,2667.615682,1790776.592,18704885.53
1593216000,456274676,1974104.08,2669.679254,1771451.764,19586892.47
1593129600,463060030,1972986.919,2657.092643,1769486.791,20036378.78
1593043200,460615597,1952174.601,2665.762492,1761850.773,16912814.21
1592956800,471762095,1941327.908,2665.88623,1747365.158,17895912.41
1592870400,469215786,1940030.538,2664.873233,1756815.514,14813646.67
1592784000,437327152,1903325.726,2654.299396,1726917.173,18022064.72
1592697600,478956217,2081603.794,1998.167983,1900340.093,17803926.87
1592611200,498492186,2168771.747,2001.070106,1960730.517,18110074.5
